timestamp,current_commit_sha,parent_commit_sha,current_commit_timestamp,current_commit_message,github_url,num_python_file_changed,coverage,num_new_violations,new_violations,num_old_violations,old_violations,num_current_violations,current_violations,num_parent_violations,parent_violations
20251223_124828,465d7addf9396e8d1a320ad153a6f556789872e5,,1739271997,feat: Complete basic request response bindings (#3),,,x,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719,0,,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6,0,
20251223_124828,ece446df0ffce859ea0a42a2144a377eaa01e8ff,465d7addf9396e8d1a320ad153a6f556789872e5,1739301767,feat(response): Add `encoding` getter (#4),https://github.com/0x676e67/rnet/compare/465d7addf9396e8d1a320ad153a6f556789872e5...ece446df0ffce859ea0a42a2144a377eaa01e8ff,1,x,0,,0,,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6
20251223_124828,99c968591910d3f162cd297d5ce11994243acb3f,ece446df0ffce859ea0a42a2144a377eaa01e8ff,1739306292,feat(response): Add streaming support (#5),https://github.com/0x676e67/rnet/compare/ece446df0ffce859ea0a42a2144a377eaa01e8ff...99c968591910d3f162cd297d5ce11994243acb3f,1,x,0,,0,,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6
20251223_124828,dea12403761108f37a48d8e6f2ad5fa75357a36d,99c968591910d3f162cd297d5ce11994243acb3f,1739311998,feat(response): Add cookies support (#6),https://github.com/0x676e67/rnet/compare/99c968591910d3f162cd297d5ce11994243acb3f...dea12403761108f37a48d8e6f2ad5fa75357a36d,1,x,0,,0,,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6
20251223_124828,849d320aa744cb1c2dd88c2eb3caa5c65ea553b8,dea12403761108f37a48d8e6f2ad5fa75357a36d,1739319019,feat: Complete the basic shortcut request (#7),https://github.com/0x676e67/rnet/compare/dea12403761108f37a48d8e6f2ad5fa75357a36d...849d320aa744cb1c2dd88c2eb3caa5c65ea553b8,2,x,0,,0,,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6
20251223_124828,2cb8fa6aa21ce96644577b0838ae737cccd3575a,849d320aa744cb1c2dd88c2eb3caa5c65ea553b8,1739336002,Improve Shortcut method request,https://github.com/0x676e67/rnet/compare/849d320aa744cb1c2dd88c2eb3caa5c65ea553b8...2cb8fa6aa21ce96644577b0838ae737cccd3575a,3,x,0,,0,,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6
20251223_124828,26eca5fafeb732321ba02cac1707d1fef421d51b,2cb8fa6aa21ce96644577b0838ae737cccd3575a,1739338500,perf(resp): Improve drop response overhead (#8),https://github.com/0x676e67/rnet/compare/2cb8fa6aa21ce96644577b0838ae737cccd3575a...26eca5fafeb732321ba02cac1707d1fef421d51b,2,x,0,,0,,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6
20251223_124828,cc940228c526915341f473e18cd249aaf416c39d,26eca5fafeb732321ba02cac1707d1fef421d51b,1739361827,chore: Update Python type information,https://github.com/0x676e67/rnet/compare/26eca5fafeb732321ba02cac1707d1fef421d51b...cc940228c526915341f473e18cd249aaf416c39d,3,x,0,,0,,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6
20251223_124828,9b630096a332eab9d62d47e571435695c966d7dc,cc940228c526915341f473e18cd249aaf416c39d,1739367000,feat(headers): implement `__str__` for HeaderMap,https://github.com/0x676e67/rnet/compare/cc940228c526915341f473e18cd249aaf416c39d...9b630096a332eab9d62d47e571435695c966d7dc,1,x,0,,0,,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6
20251223_124828,46df5356ec2f6a5a176f395c4ce8c7389dd68733,9b630096a332eab9d62d47e571435695c966d7dc,1739369147,feat: Improve the basic body request (#10),https://github.com/0x676e67/rnet/compare/9b630096a332eab9d62d47e571435695c966d7dc...46df5356ec2f6a5a176f395c4ce8c7389dd68733,8,x,0,,0,,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6
20251223_124828,b86c9b232aef0d03d262e5c18ae5a98df97d795e,46df5356ec2f6a5a176f395c4ce8c7389dd68733,1739393884,feat: Add proxy binding,https://github.com/0x676e67/rnet/compare/46df5356ec2f6a5a176f395c4ce8c7389dd68733...b86c9b232aef0d03d262e5c18ae5a98df97d795e,9,x,0,,0,,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6
20251223_124828,2187bbd893a573500144c59bd95874c5ca776dfb,b86c9b232aef0d03d262e5c18ae5a98df97d795e,1739441367,feat(client): Adapt client basic request bindings (#11),https://github.com/0x676e67/rnet/compare/b86c9b232aef0d03d262e5c18ae5a98df97d795e...2187bbd893a573500144c59bd95874c5ca776dfb,3,x,0,,0,,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6
20251223_124828,cdf16a78feec1217f414bb77be4c46663520ef21,2187bbd893a573500144c59bd95874c5ca776dfb,1739444780,chore: update docs,https://github.com/0x676e67/rnet/compare/2187bbd893a573500144c59bd95874c5ca776dfb...cdf16a78feec1217f414bb77be4c46663520ef21,10,x,0,,0,,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6
20251223_124828,bb2e8014dcdeb62660bbeb25c38b70f618a2a4e4,cdf16a78feec1217f414bb77be4c46663520ef21,1739513941,build: Fix manylinux build (#16),https://github.com/0x676e67/rnet/compare/cdf16a78feec1217f414bb77be4c46663520ef21...bb2e8014dcdeb62660bbeb25c38b70f618a2a4e4,1,x,0,,0,,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6
