timestamp,current_commit_sha,parent_commit_sha,current_commit_timestamp,current_commit_message,github_url,num_python_file_changed,coverage,num_new_violations,new_violations,num_old_violations,old_violations,num_current_violations,current_violations,num_parent_violations,parent_violations
20251222_123018,9c262e3b9f66a368fce8058cf8b815db27211899,,1708786461,型なしラムダ計算で遊びはじめた,,,x,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719,0,,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6,0,
20251222_123018,f050572563a74f85a0cd37046c311aebed2cc421,9c262e3b9f66a368fce8058cf8b815db27211899,1708791659,リスト操作用の関数をいくつか定義,https://github.com/backpaper0/sandbox/compare/9c262e3b9f66a368fce8058cf8b815db27211899...f050572563a74f85a0cd37046c311aebed2cc421,1,x,0,,0,,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6
20251222_123018,ea02dc49ed7135f33767dd0070aa856f4a80c3b1,f050572563a74f85a0cd37046c311aebed2cc421,1708815283,エラーになるなぁ,https://github.com/backpaper0/sandbox/compare/f050572563a74f85a0cd37046c311aebed2cc421...ea02dc49ed7135f33767dd0070aa856f4a80c3b1,1,x,0,,0,,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6
20251222_123018,8f00ba8fc0d7dfaff5b3970889aaeb363da69b03,ea02dc49ed7135f33767dd0070aa856f4a80c3b1,1708865539,型アノテーションを学ぶ,https://github.com/backpaper0/sandbox/compare/ea02dc49ed7135f33767dd0070aa856f4a80c3b1...8f00ba8fc0d7dfaff5b3970889aaeb363da69b03,2,x,0,,0,,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6
20251222_123018,4863aad3cc0e9b059187a021a9112d33720d35ae,8f00ba8fc0d7dfaff5b3970889aaeb363da69b03,1709076139,FastAPIを学ぶ,https://github.com/backpaper0/sandbox/compare/8f00ba8fc0d7dfaff5b3970889aaeb363da69b03...4863aad3cc0e9b059187a021a9112d33720d35ae,2,x,0,,0,,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=20;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=18,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6
20251222_123018,99a5c310bbe499977e8900c82cc769754fe682ee,4863aad3cc0e9b059187a021a9112d33720d35ae,1709076805,DIする,https://github.com/backpaper0/sandbox/compare/4863aad3cc0e9b059187a021a9112d33720d35ae...99a5c310bbe499977e8900c82cc769754fe682ee,1,x,0,,0,,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=20;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=18,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=20;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=18
20251222_123018,a817f033efda8b9e2581929a7d65758531fb04de,99a5c310bbe499977e8900c82cc769754fe682ee,1709152626,クラスをDIする,https://github.com/backpaper0/sandbox/compare/99a5c310bbe499977e8900c82cc769754fe682ee...a817f033efda8b9e2581929a7d65758531fb04de,1,x,0,,0,,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=20;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=18,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=20;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=18
20251222_123018,6d40203cc44b89a644633646af9dbd45a6f2fef0,a817f033efda8b9e2581929a7d65758531fb04de,1709152921,クラスを使えばDependsにクラスを書かなくても良いみたい,https://github.com/backpaper0/sandbox/compare/a817f033efda8b9e2581929a7d65758531fb04de...6d40203cc44b89a644633646af9dbd45a6f2fef0,1,x,0,,0,,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=20;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=18,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=20;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=18
20251222_123018,1a2e607af2bb50be65b5e43974762d7cceffa25e,6d40203cc44b89a644633646af9dbd45a6f2fef0,1709161203,サブ依存,https://github.com/backpaper0/sandbox/compare/6d40203cc44b89a644633646af9dbd45a6f2fef0...1a2e607af2bb50be65b5e43974762d7cceffa25e,1,x,0,,0,,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=20;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=18,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=20;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=18
20251222_123018,0e0aec0e9d72eedb285867736602553a80955b13,1a2e607af2bb50be65b5e43974762d7cceffa25e,1710159970,ConsoleCallbackHandlerって便利なやつがあったわ,https://github.com/backpaper0/sandbox/compare/1a2e607af2bb50be65b5e43974762d7cceffa25e...0e0aec0e9d72eedb285867736602553a80955b13,2,x,0,,0,,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=20;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=18,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=20;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=18
20251222_123018,5c7379d4222adb6304e857d0651ee0becc23101c,0e0aec0e9d72eedb285867736602553a80955b13,1710284782,ConsoleCallbackHandlerはper_req_config_modifierで仕込むのが良さそう,https://github.com/backpaper0/sandbox/compare/0e0aec0e9d72eedb285867736602553a80955b13...5c7379d4222adb6304e857d0651ee0becc23101c,1,x,0,,0,,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=20;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=18,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=20;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=18
