timestamp,current_commit_sha,parent_commit_sha,current_commit_timestamp,current_commit_message,github_url,num_python_file_changed,coverage,num_new_violations,new_violations,num_old_violations,old_violations,num_current_violations,current_violations,num_parent_violations,parent_violations
20251229_103647,e16173c67a36537cd231bd1be3ce54c6b979fd6a,,1658592565,Rename Kilometerstomile to Kilometerstomile.py,,,x,5,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719;KeyInList:<frozen importlib._bootstrap>:1316;KeyInList:/usr/lib/python3.12/unittest/mock.py:1039,0,,5,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=50;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=48;KeyInList:<frozen importlib._bootstrap>:1316=14;KeyInList:/usr/lib/python3.12/unittest/mock.py:1039=1,0,
20251229_103647,bf049a6740f3cb0af29f6abb59aec3c8ff4113f8,e16173c67a36537cd231bd1be3ce54c6b979fd6a,1658675974,Rename googleweb to googleweb.py,https://github.com/geekcomputers/Python/compare/e16173c67a36537cd231bd1be3ce54c6b979fd6a...bf049a6740f3cb0af29f6abb59aec3c8ff4113f8,1,x,0,,0,,5,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=50;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=48;KeyInList:<frozen importlib._bootstrap>:1316=14;KeyInList:/usr/lib/python3.12/unittest/mock.py:1039=1,5,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=50;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=48;KeyInList:<frozen importlib._bootstrap>:1316=14;KeyInList:/usr/lib/python3.12/unittest/mock.py:1039=1
20251229_103647,23d41bd70bf39968f0e6f3b7e92c1170b4888305,bf049a6740f3cb0af29f6abb59aec3c8ff4113f8,1658676194,Update and rename singly_linked_list to singly_linked_list.py,https://github.com/geekcomputers/Python/compare/bf049a6740f3cb0af29f6abb59aec3c8ff4113f8...23d41bd70bf39968f0e6f3b7e92c1170b4888305,1,x,0,,0,,5,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=50;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=48;KeyInList:<frozen importlib._bootstrap>:1316=14;KeyInList:/usr/lib/python3.12/unittest/mock.py:1039=1,5,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=50;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=48;KeyInList:<frozen importlib._bootstrap>:1316=14;KeyInList:/usr/lib/python3.12/unittest/mock.py:1039=1
20251229_103647,b54a9e6a4fb415325e879a9784807054397e86d7,23d41bd70bf39968f0e6f3b7e92c1170b4888305,1658850733,Rename conversion to conversion.py,https://github.com/geekcomputers/Python/compare/23d41bd70bf39968f0e6f3b7e92c1170b4888305...b54a9e6a4fb415325e879a9784807054397e86d7,1,x,0,,0,,5,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=50;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=48;KeyInList:<frozen importlib._bootstrap>:1316=14;KeyInList:/usr/lib/python3.12/unittest/mock.py:1039=1,5,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=50;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=48;KeyInList:<frozen importlib._bootstrap>:1316=14;KeyInList:/usr/lib/python3.12/unittest/mock.py:1039=1
20251229_103647,ea357d0b57aab1e6e37346abdfa166a4f2ba40fd,b54a9e6a4fb415325e879a9784807054397e86d7,1658850896,Rename wifi hack by brutefore to wifi hack by brutefore.py,https://github.com/geekcomputers/Python/compare/b54a9e6a4fb415325e879a9784807054397e86d7...ea357d0b57aab1e6e37346abdfa166a4f2ba40fd,1,x,0,,0,,5,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=50;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=48;KeyInList:<frozen importlib._bootstrap>:1316=14;KeyInList:/usr/lib/python3.12/unittest/mock.py:1039=1,5,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=50;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=48;KeyInList:<frozen importlib._bootstrap>:1316=14;KeyInList:/usr/lib/python3.12/unittest/mock.py:1039=1
20251229_103647,83ac2e3bcb907481f1b21117c5d5bed6987d8b26,ea357d0b57aab1e6e37346abdfa166a4f2ba40fd,1658992739,added add_2_nums.py,https://github.com/geekcomputers/Python/compare/ea357d0b57aab1e6e37346abdfa166a4f2ba40fd...83ac2e3bcb907481f1b21117c5d5bed6987d8b26,446,x,0,,0,,5,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=50;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=48;KeyInList:<frozen importlib._bootstrap>:1316=14;KeyInList:/usr/lib/python3.12/unittest/mock.py:1039=1,5,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=50;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=48;KeyInList:<frozen importlib._bootstrap>:1316=14;KeyInList:/usr/lib/python3.12/unittest/mock.py:1039=1
20251229_103647,c640340573cfc6adc2cb9cac32deff7a06333ac4,83ac2e3bcb907481f1b21117c5d5bed6987d8b26,1660068708,Rename calculatorproject to calculatorproject.py,https://github.com/geekcomputers/Python/compare/83ac2e3bcb907481f1b21117c5d5bed6987d8b26...c640340573cfc6adc2cb9cac32deff7a06333ac4,479,x,0,,0,,5,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=50;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=48;KeyInList:<frozen importlib._bootstrap>:1316=14;KeyInList:/usr/lib/python3.12/unittest/mock.py:1039=1,5,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=50;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=48;KeyInList:<frozen importlib._bootstrap>:1316=14;KeyInList:/usr/lib/python3.12/unittest/mock.py:1039=1
20251229_103647,d43193cca731f5bacb782748a8f55f0276092d54,c640340573cfc6adc2cb9cac32deff7a06333ac4,1660151532,Rename Mad Libs Generator to Mad Libs Generator.py,https://github.com/geekcomputers/Python/compare/c640340573cfc6adc2cb9cac32deff7a06333ac4...d43193cca731f5bacb782748a8f55f0276092d54,1,x,0,,0,,5,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=50;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=48;KeyInList:<frozen importlib._bootstrap>:1316=14;KeyInList:/usr/lib/python3.12/unittest/mock.py:1039=1,5,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=50;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=48;KeyInList:<frozen importlib._bootstrap>:1316=14;KeyInList:/usr/lib/python3.12/unittest/mock.py:1039=1
20251229_103647,137798cc8709c28be8f893c877119dabecb652c3,d43193cca731f5bacb782748a8f55f0276092d54,1660151586,Rename python_webscraper to python_webscraper.py,https://github.com/geekcomputers/Python/compare/d43193cca731f5bacb782748a8f55f0276092d54...137798cc8709c28be8f893c877119dabecb652c3,1,x,0,,0,,5,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=50;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=48;KeyInList:<frozen importlib._bootstrap>:1316=14;KeyInList:/usr/lib/python3.12/unittest/mock.py:1039=1,5,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=50;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=48;KeyInList:<frozen importlib._bootstrap>:1316=14;KeyInList:/usr/lib/python3.12/unittest/mock.py:1039=1
20251229_103647,82eb9d27ade9390ccaaf13683f5ff6a4db365df6,137798cc8709c28be8f893c877119dabecb652c3,1660151628,Rename number guessing to number guessing.py,https://github.com/geekcomputers/Python/compare/137798cc8709c28be8f893c877119dabecb652c3...82eb9d27ade9390ccaaf13683f5ff6a4db365df6,1,x,0,,0,,5,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=50;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=48;KeyInList:<frozen importlib._bootstrap>:1316=14;KeyInList:/usr/lib/python3.12/unittest/mock.py:1039=1,5,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=50;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=48;KeyInList:<frozen importlib._bootstrap>:1316=14;KeyInList:/usr/lib/python3.12/unittest/mock.py:1039=1
20251229_103647,b6e8a6329229f0eefadc8e1ea36c2b7ee562797f,82eb9d27ade9390ccaaf13683f5ff6a4db365df6,1660151702,Rename tuple to tuple.py,https://github.com/geekcomputers/Python/compare/82eb9d27ade9390ccaaf13683f5ff6a4db365df6...b6e8a6329229f0eefadc8e1ea36c2b7ee562797f,1,x,0,,0,,5,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=50;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=48;KeyInList:<frozen importlib._bootstrap>:1316=14;KeyInList:/usr/lib/python3.12/unittest/mock.py:1039=1,5,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=50;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=48;KeyInList:<frozen importlib._bootstrap>:1316=14;KeyInList:/usr/lib/python3.12/unittest/mock.py:1039=1
