timestamp,current_commit_sha,parent_commit_sha,current_commit_timestamp,current_commit_message,github_url,num_python_file_changed,coverage,num_new_violations,new_violations,num_old_violations,old_violations,num_current_violations,current_violations,num_parent_violations,parent_violations
20251222_122752,82f0d59078cfdc1ee070e0c478ccea85f1f89bf8,,1680111583,"fix: change thread name to ""Thread"" so it's not confused to be official support.",,,x,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719,0,,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6,0,
20251222_122752,ff4df7562c40da1926698a0a971221435ef547db,82f0d59078cfdc1ee070e0c478ccea85f1f89bf8,1680122260,updates to gpt-4-32k and remove feedback timeout message,https://github.com/wandb/wandbot/compare/82f0d59078cfdc1ee070e0c478ccea85f1f89bf8...ff4df7562c40da1926698a0a971221435ef547db,2,x,0,,0,,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6
20251222_122752,299184289f896f12f2a056801aeb36b1522fc831,ff4df7562c40da1926698a0a971221435ef547db,1680130820,"log query and timings, add emojis, limit available channels",https://github.com/wandb/wandbot/compare/ff4df7562c40da1926698a0a971221435ef547db...299184289f896f12f2a056801aeb36b1522fc831,2,x,0,,0,,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6
20251222_122752,e682264a6bc1a0cc2f7de364ae6a52db14a51c40,299184289f896f12f2a056801aeb36b1522fc831,1680131246,add time import,https://github.com/wandb/wandbot/compare/299184289f896f12f2a056801aeb36b1522fc831...e682264a6bc1a0cc2f7de364ae6a52db14a51c40,1,x,0,,0,,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6
20251222_122752,dd7a8d3958d59fc0feabc202bc1ae8e5e49eaa7c,e682264a6bc1a0cc2f7de364ae6a52db14a51c40,1680131323,remove references,https://github.com/wandb/wandbot/compare/e682264a6bc1a0cc2f7de364ae6a52db14a51c40...dd7a8d3958d59fc0feabc202bc1ae8e5e49eaa7c,2,x,0,,0,,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6
20251222_122752,80e0dbb64a26a57d55f1bfe84759b63ab846f4cc,dd7a8d3958d59fc0feabc202bc1ae8e5e49eaa7c,1680131387,fix,https://github.com/wandb/wandbot/compare/dd7a8d3958d59fc0feabc202bc1ae8e5e49eaa7c...80e0dbb64a26a57d55f1bfe84759b63ab846f4cc,1,x,0,,0,,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6
20251222_122752,569b3a08a38f41119f5d3d231bfd9bbaaca4e075,80e0dbb64a26a57d55f1bfe84759b63ab846f4cc,1680131468,update db name,https://github.com/wandb/wandbot/compare/80e0dbb64a26a57d55f1bfe84759b63ab846f4cc...569b3a08a38f41119f5d3d231bfd9bbaaca4e075,1,x,0,,0,,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6
20251222_122752,2ddc9732f49d0e84932f7ae4cbea3f043bfe9bc9,569b3a08a38f41119f5d3d231bfd9bbaaca4e075,1680131751,update production discord channel id,https://github.com/wandb/wandbot/compare/569b3a08a38f41119f5d3d231bfd9bbaaca4e075...2ddc9732f49d0e84932f7ae4cbea3f043bfe9bc9,1,x,0,,0,,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6
20251222_122752,4e65b049cd215c54ea5b7cf6bf248facd4d293b7,2ddc9732f49d0e84932f7ae4cbea3f043bfe9bc9,1680138905,change logging,https://github.com/wandb/wandbot/compare/2ddc9732f49d0e84932f7ae4cbea3f043bfe9bc9...4e65b049cd215c54ea5b7cf6bf248facd4d293b7,1,x,0,,0,,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6
20251222_122752,c78221d35bb0103613cadc7804ffcee2b3186889,4e65b049cd215c54ea5b7cf6bf248facd4d293b7,1680142866,adds StreamTable,https://github.com/wandb/wandbot/compare/4e65b049cd215c54ea5b7cf6bf248facd4d293b7...c78221d35bb0103613cadc7804ffcee2b3186889,2,x,0,,0,,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6
20251222_122752,44dcd0638e40f483c4c717a9c2e677053eea51f8,c78221d35bb0103613cadc7804ffcee2b3186889,1680142990,put stream table behind try except,https://github.com/wandb/wandbot/compare/c78221d35bb0103613cadc7804ffcee2b3186889...44dcd0638e40f483c4c717a9c2e677053eea51f8,1,x,0,,0,,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6
