timestamp,current_commit_sha,parent_commit_sha,current_commit_timestamp,current_commit_message,github_url,num_python_file_changed,coverage,num_new_violations,new_violations,num_old_violations,old_violations,num_current_violations,current_violations,num_parent_violations,parent_violations
20251223_124855,8a1575be33241ad3ef6499c07e7ec8bf1c50fb6c,,1679824117,"Enhance esptool GUI, #2707",,,7.020999999999999,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719,0,,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=32;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=30,0,
20251223_124855,d8aefa17788bbbe3e6d3405797baa196252e29f8,8a1575be33241ad3ef6499c07e7ec8bf1c50fb6c,1679835493,"Windows fixes for esptool GUI, #2707",https://github.com/thonny/thonny/compare/8a1575be33241ad3ef6499c07e7ec8bf1c50fb6c...d8aefa17788bbbe3e6d3405797baa196252e29f8,2,7.02,0,,0,,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=32;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=30,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=32;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=30
20251223_124855,af79173d951e23cb12f4b70dd0f270adf8e9cd3e,d8aefa17788bbbe3e6d3405797baa196252e29f8,1679858188,"More forgiving image analysis for esptool GUI, #2707",https://github.com/thonny/thonny/compare/d8aefa17788bbbe3e6d3405797baa196252e29f8...af79173d951e23cb12f4b70dd0f270adf8e9cd3e,1,7.019,0,,0,,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=32;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=30,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=32;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=30
20251223_124855,e771a2a68c7221cb80cf86988b5fb7ad771bf032,af79173d951e23cb12f4b70dd0f270adf8e9cd3e,1679858196,black,https://github.com/thonny/thonny/compare/af79173d951e23cb12f4b70dd0f270adf8e9cd3e...e771a2a68c7221cb80cf86988b5fb7ad771bf032,1,7.019,0,,0,,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=32;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=30,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=32;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=30
20251223_124855,657f37bde28f49afbfc13a7af7239ce0a2d5f18e,e771a2a68c7221cb80cf86988b5fb7ad771bf032,1679860180,"Misc fixes for esptool GUI, #2707",https://github.com/thonny/thonny/compare/e771a2a68c7221cb80cf86988b5fb7ad771bf032...657f37bde28f49afbfc13a7af7239ce0a2d5f18e,2,7.018000000000001,0,,0,,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=32;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=30,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=32;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=30
20251223_124855,ec36c76db53c4b7f4dced2dc60710e5ca9635c97,657f37bde28f49afbfc13a7af7239ce0a2d5f18e,1679863834,Use UDisks to find mounted filesystems on Linux (#2683),https://github.com/thonny/thonny/compare/657f37bde28f49afbfc13a7af7239ce0a2d5f18e...ec36c76db53c4b7f4dced2dc60710e5ca9635c97,3,6.992,0,,0,,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=32;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=30,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=32;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=30
20251223_124855,bdc065fbd42b1df8eceba4062cc78cde044e6d11,ec36c76db53c4b7f4dced2dc60710e5ca9635c97,1679864500,"Smal fix for esptool GUI, #2707",https://github.com/thonny/thonny/compare/ec36c76db53c4b7f4dced2dc60710e5ca9635c97...bdc065fbd42b1df8eceba4062cc78cde044e6d11,1,6.992,0,,0,,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=32;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=30,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=32;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=30
20251223_124855,4276a1341bfaea6e3bb453c28faf3c8ece305c51,bdc065fbd42b1df8eceba4062cc78cde044e6d11,1680444892,"Small fixes for flasher dialogs, #2707",https://github.com/thonny/thonny/compare/bdc065fbd42b1df8eceba4062cc78cde044e6d11...4276a1341bfaea6e3bb453c28faf3c8ece305c51,2,6.992,0,,0,,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=32;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=30,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=32;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=30
20251223_124855,e8ff9d92268d9cf0432a3b88cc89dbf856cb872b,4276a1341bfaea6e3bb453c28faf3c8ece305c51,1680444981,"Restore MicroPython completions in the shell, #2467, #2419",https://github.com/thonny/thonny/compare/4276a1341bfaea6e3bb453c28faf3c8ece305c51...e8ff9d92268d9cf0432a3b88cc89dbf856cb872b,2,6.984,0,,0,,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=32;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=30,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=32;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=30
20251223_124855,9957df8759dff75133c1705538808062dc976b02,e8ff9d92268d9cf0432a3b88cc89dbf856cb872b,1680454593,Fix MicroPython builtins completion,https://github.com/thonny/thonny/compare/e8ff9d92268d9cf0432a3b88cc89dbf856cb872b...9957df8759dff75133c1705538808062dc976b02,5,6.999,0,,0,,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=32;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=30,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=32;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=30
20251223_124855,770eb4120619bbc027d7bc8b880f40705bddeb63,9957df8759dff75133c1705538808062dc976b02,1680459640,Consider modules in project directory when completing,https://github.com/thonny/thonny/compare/9957df8759dff75133c1705538808062dc976b02...770eb4120619bbc027d7bc8b880f40705bddeb63,5,6.998,0,,0,,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=32;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=30,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=32;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=30
