timestamp,current_commit_sha,parent_commit_sha,current_commit_timestamp,current_commit_message,github_url,num_python_file_changed,coverage,num_new_violations,new_violations,num_old_violations,old_violations,num_current_violations,current_violations,num_parent_violations,parent_violations
20251223_124613,4828a85ab007080342ae0ee8478dcf0f0342be80,,1756850245,feat(core): add `web_search` in OpenAI tools list (#32738),,,x,4,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719;KeyInList:/usr/lib/python3.12/typing.py:286,0,,4,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=26;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=24;KeyInList:/usr/lib/python3.12/typing.py:286=2,0,
20251223_124613,86fa34f3ebe284b51d7f2476787f26367105a8d1,4828a85ab007080342ae0ee8478dcf0f0342be80,1756927577,chore(langchain): add ruff rules D for `langchain_v1` (#32808),https://github.com/langchain-ai/langchain/compare/4828a85ab007080342ae0ee8478dcf0f0342be80...86fa34f3ebe284b51d7f2476787f26367105a8d1,10,x,0,,0,,4,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=26;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=24;KeyInList:/usr/lib/python3.12/typing.py:286=2,4,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=26;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=24;KeyInList:/usr/lib/python3.12/typing.py:286=2
20251223_124613,4e39c164bb55ba5f877beb555a1797fc55c31baa,86fa34f3ebe284b51d7f2476787f26367105a8d1,1757096938,fix(anthropic): remove beta header warning for TTL (#32832),https://github.com/langchain-ai/langchain/compare/86fa34f3ebe284b51d7f2476787f26367105a8d1...4e39c164bb55ba5f877beb555a1797fc55c31baa,1,x,0,,0,,4,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=26;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=24;KeyInList:/usr/lib/python3.12/typing.py:286=2,4,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=26;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=24;KeyInList:/usr/lib/python3.12/typing.py:286=2
20251223_124613,5bf0b218c8f992aba6626e9c80c6c1ab4d55520f,4e39c164bb55ba5f877beb555a1797fc55c31baa,1757278399,chore(cli): fix some ruff preview rules (#32803),https://github.com/langchain-ai/langchain/compare/4e39c164bb55ba5f877beb555a1797fc55c31baa...5bf0b218c8f992aba6626e9c80c6c1ab4d55520f,4,x,0,,0,,4,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=26;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=24;KeyInList:/usr/lib/python3.12/typing.py:286=2,4,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=26;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=24;KeyInList:/usr/lib/python3.12/typing.py:286=2
20251223_124613,6e2f46d04cb9a551c8821c3a9f7050f76d61bc9a,5bf0b218c8f992aba6626e9c80c6c1ab4d55520f,1757293857,feat(langchain): middleware support in `create_agent` (#32828),https://github.com/langchain-ai/langchain/compare/5bf0b218c8f992aba6626e9c80c6c1ab4d55520f...6e2f46d04cb9a551c8821c3a9f7050f76d61bc9a,9,x,0,,0,,4,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=26;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=24;KeyInList:/usr/lib/python3.12/typing.py:286=2,4,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=26;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=24;KeyInList:/usr/lib/python3.12/typing.py:286=2
20251223_124613,5b0a55ad35dabdd2c465244193e789ea874d51ce,6e2f46d04cb9a551c8821c3a9f7050f76d61bc9a,1757339660,chore(openai): apply formatting changes to AzureChatOpenAI (#32848),https://github.com/langchain-ai/langchain/compare/6e2f46d04cb9a551c8821c3a9f7050f76d61bc9a...5b0a55ad35dabdd2c465244193e789ea874d51ce,1,x,0,,0,,4,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=26;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=24;KeyInList:/usr/lib/python3.12/typing.py:286=2,4,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=26;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=24;KeyInList:/usr/lib/python3.12/typing.py:286=2
20251223_124613,6ea06ca9725f8c8034f640206bd58d84982dcc40,5b0a55ad35dabdd2c465244193e789ea874d51ce,1757340515,fix(openai): Fix Azure OpenAI Responses API model field issue (#32649),https://github.com/langchain-ai/langchain/compare/5b0a55ad35dabdd2c465244193e789ea874d51ce...6ea06ca9725f8c8034f640206bd58d84982dcc40,4,x,0,,0,,4,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=26;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=24;KeyInList:/usr/lib/python3.12/typing.py:286=2,4,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=26;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=24;KeyInList:/usr/lib/python3.12/typing.py:286=2
20251223_124613,228fbac3a6bf12340fc2fc8647d12b6890030293,6ea06ca9725f8c8034f640206bd58d84982dcc40,1757340770,fix(openai): handle `AIMessage`s without `response_id` in `_get_last_messages` (#32824),https://github.com/langchain-ai/langchain/compare/6ea06ca9725f8c8034f640206bd58d84982dcc40...228fbac3a6bf12340fc2fc8647d12b6890030293,2,x,0,,0,,4,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=26;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=24;KeyInList:/usr/lib/python3.12/typing.py:286=2,4,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=26;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=24;KeyInList:/usr/lib/python3.12/typing.py:286=2
20251223_124613,20401df25dd9f47770050cf348d310a3ab42c0af,228fbac3a6bf12340fc2fc8647d12b6890030293,1757342182,chore(cli): fix some DOC rules (preview) (#32839),https://github.com/langchain-ai/langchain/compare/228fbac3a6bf12340fc2fc8647d12b6890030293...20401df25dd9f47770050cf348d310a3ab42c0af,9,x,0,,0,,4,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=26;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=24;KeyInList:/usr/lib/python3.12/typing.py:286=2,4,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=26;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=24;KeyInList:/usr/lib/python3.12/typing.py:286=2
20251223_124613,0c3e8ccd0ebad79c51bb4e8ff8d821f03bf59572,20401df25dd9f47770050cf348d310a3ab42c0af,1757342769,chore(text-splitters): select ALL rules with exclusions (#32325),https://github.com/langchain-ai/langchain/compare/20401df25dd9f47770050cf348d310a3ab42c0af...0c3e8ccd0ebad79c51bb4e8ff8d821f03bf59572,17,x,0,,0,,4,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=26;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=24;KeyInList:/usr/lib/python3.12/typing.py:286=2,4,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=26;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=24;KeyInList:/usr/lib/python3.12/typing.py:286=2
20251223_124613,c672590f423bab6af905308350ff61b379f86a3e,0c3e8ccd0ebad79c51bb4e8ff8d821f03bf59572,1757343467,chore(standard-tests): select ALL rules with exclusions (#31937),https://github.com/langchain-ai/langchain/compare/0c3e8ccd0ebad79c51bb4e8ff8d821f03bf59572...c672590f423bab6af905308350ff61b379f86a3e,13,x,0,,0,,4,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=20;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=18;KeyInList:/usr/lib/python3.12/typing.py:286=2,4,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=26;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=24;KeyInList:/usr/lib/python3.12/typing.py:286=2
