timestamp,current_commit_sha,parent_commit_sha,current_commit_timestamp,current_commit_message,coverage,num_new_violations,new_violations,num_old_violations,old_violations,num_current_violations,current_violations,num_parent_violations,parent_violations
20251222_075837,43df88c62d75d6a7ffdcaaf560da298ac6b5d60e,,1765037011,Fix: correct type hint for message to allow None,x,6,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719;KeyInList:/telebot/__init__.py:10075;KeyInList:/telebot/__init__.py:10079;KeyInList:/usr/lib/python3.12/encodings/__init__.py:144,0,,6,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=535;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=532;KeyInList:/telebot/__init__.py:10075=10;KeyInList:/telebot/__init__.py:10079=10;KeyInList:/usr/lib/python3.12/encodings/__init__.py:144=1,0,
20251222_075837,8335648c81ec82ca9bdb546ff1966fc29ceb7da3,43df88c62d75d6a7ffdcaaf560da298ac6b5d60e,1756911472,Bump version (fix),x,0,,0,,6,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=535;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=532;KeyInList:/telebot/__init__.py:10075=10;KeyInList:/telebot/__init__.py:10079=10;KeyInList:/usr/lib/python3.12/encodings/__init__.py:144=1,6,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=535;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=532;KeyInList:/telebot/__init__.py:10075=10;KeyInList:/telebot/__init__.py:10079=10;KeyInList:/usr/lib/python3.12/encodings/__init__.py:144=1
20251222_075837,bf351eeb05b37fde11e5baf4a666c38292ea512a,8335648c81ec82ca9bdb546ff1966fc29ceb7da3,1756754020,Fix indentation error in init,x,0,,0,,6,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=535;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=532;KeyInList:/telebot/__init__.py:9795=10;KeyInList:/telebot/__init__.py:9799=10;KeyInList:/usr/lib/python3.12/encodings/__init__.py:144=1,6,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=535;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=532;KeyInList:/telebot/__init__.py:10075=10;KeyInList:/telebot/__init__.py:10079=10;KeyInList:/usr/lib/python3.12/encodings/__init__.py:144=1
20251222_075837,8876319660757aaedf0ae3e706be5fc44d3352d9,bf351eeb05b37fde11e5baf4a666c38292ea512a,1756734404,Fix urgent suggested_post_parameters presence in sendmediagroup,x,0,,0,,6,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=535;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=532;KeyInList:/telebot/__init__.py:10075=10;KeyInList:/telebot/__init__.py:10079=10;KeyInList:/usr/lib/python3.12/encodings/__init__.py:144=1,6,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=535;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=532;KeyInList:/telebot/__init__.py:9795=10;KeyInList:/telebot/__init__.py:9799=10;KeyInList:/usr/lib/python3.12/encodings/__init__.py:144=1
20251222_075837,5f1153a079dddd01d11243d1f9b33e6cecf771d0,8876319660757aaedf0ae3e706be5fc44d3352d9,1756538606,Bump version,x,0,,0,,6,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=535;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=532;KeyInList:/telebot/__init__.py:10075=10;KeyInList:/telebot/__init__.py:10079=10;KeyInList:/usr/lib/python3.12/encodings/__init__.py:144=1,6,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=535;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=532;KeyInList:/telebot/__init__.py:10075=10;KeyInList:/telebot/__init__.py:10079=10;KeyInList:/usr/lib/python3.12/encodings/__init__.py:144=1
20251222_075837,d3d7a52a4cb618ee64b2b3643d7b883f0187002e,5f1153a079dddd01d11243d1f9b33e6cecf771d0,1756396847,"Fix missing parameters, inconsistent descriptions,  content type services",x,0,,0,,6,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=535;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=532;KeyInList:/telebot/__init__.py:10075=10;KeyInList:/telebot/__init__.py:10079=10;KeyInList:/usr/lib/python3.12/encodings/__init__.py:144=1,6,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=535;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=532;KeyInList:/telebot/__init__.py:10075=10;KeyInList:/telebot/__init__.py:10079=10;KeyInList:/usr/lib/python3.12/encodings/__init__.py:144=1
20251222_075837,220772b0ddbc39d8f820dfdb4288619c0d168734,d3d7a52a4cb618ee64b2b3643d7b883f0187002e,1755903342,Fix typo,x,0,,0,,6,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=535;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=532;KeyInList:/telebot/__init__.py:9795=10;KeyInList:/telebot/__init__.py:9799=10;KeyInList:/usr/lib/python3.12/encodings/__init__.py:144=1,6,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=535;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=532;KeyInList:/telebot/__init__.py:10075=10;KeyInList:/telebot/__init__.py:10079=10;KeyInList:/usr/lib/python3.12/encodings/__init__.py:144=1
20251222_075837,d113d0205e7c8250f9e9da6deca7840e8e10237a,220772b0ddbc39d8f820dfdb4288619c0d168734,1755884822,"fix line break, fix poll option IDs are not optional",x,0,,0,,6,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=535;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=532;KeyInList:/telebot/__init__.py:9795=10;KeyInList:/telebot/__init__.py:9799=10;KeyInList:/usr/lib/python3.12/encodings/__init__.py:144=1,6,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=535;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=532;KeyInList:/telebot/__init__.py:9795=10;KeyInList:/telebot/__init__.py:9799=10;KeyInList:/usr/lib/python3.12/encodings/__init__.py:144=1
20251222_075837,dd3626fbc9468acf75446e5a3061d829d34084f1,d113d0205e7c8250f9e9da6deca7840e8e10237a,1755880344,Default to None for filter func in inline_handler for sync version,x,0,,0,,6,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=535;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=532;KeyInList:/telebot/__init__.py:9795=10;KeyInList:/telebot/__init__.py:9799=10;KeyInList:/usr/lib/python3.12/encodings/__init__.py:144=1,6,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=535;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=532;KeyInList:/telebot/__init__.py:9795=10;KeyInList:/telebot/__init__.py:9799=10;KeyInList:/usr/lib/python3.12/encodings/__init__.py:144=1
20251222_075837,95d43c82df1f265580773166b0ca030c0de882d8,dd3626fbc9468acf75446e5a3061d829d34084f1,1753387581,Default to None for filter func in inline_handler,x,0,,0,,6,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=535;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=532;KeyInList:/telebot/__init__.py:9795=10;KeyInList:/telebot/__init__.py:9799=10;KeyInList:/usr/lib/python3.12/encodings/__init__.py:144=1,6,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=535;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=532;KeyInList:/telebot/__init__.py:9795=10;KeyInList:/telebot/__init__.py:9799=10;KeyInList:/usr/lib/python3.12/encodings/__init__.py:144=1
